epoch,train_loss,val_loss,macro_f1
1,0.640779,0.596447,0.021224
2,0.621558,0.578797,0.096996
3,0.60743,0.574927,0.275423
4,0.602491,0.564719,0.215839
5,0.599015,0.568761,0.282766
6,0.595788,0.557481,0.270381
7,0.594569,0.552921,0.160529
8,0.593402,0.553722,0.234086
9,0.593098,0.557514,0.313414
10,0.589982,0.564042,0.393515
11,0.587961,0.553632,0.317249
12,0.586358,0.550695,0.350152
13,0.586728,0.549309,0.373974
14,0.584971,0.557687,0.378583
15,0.585663,0.551698,0.362869
16,0.5842,0.548919,0.305061
17,0.582078,0.544143,0.31965
18,0.582096,0.551486,0.3876
19,0.583483,0.548234,0.340845
20,0.581186,0.54681,0.369473
21,0.582103,0.548182,0.329354
22,0.5812,0.547592,0.343768
23,0.581885,0.546887,0.350114
24,0.580675,0.543449,0.343815
25,0.581775,0.54454,0.33692
26,0.578678,0.545538,0.348711
27,0.578648,0.546203,0.363606
28,0.579398,0.546938,0.380829
29,0.575313,0.545379,0.354925
30,0.577352,0.545083,0.347394
