model_alias,fold,layer,alpha,dim,train_recon_mse,test_recon_mse,sparsity_ratio,avg_nonzero_per_component
wav2vec2-base,fold0,9,0.1,79,0.004827,0.569742,0.233122,588.962
wav2vec2-base,fold0,9,0.1,79,0.004827,0.569742,0.233122,588.962
wav2vec2-base,fold0,9,0.1,64,0.042466,0.595991,0.199788,614.562
wav2vec2-base,fold0,9,0.1,32,0.216564,0.709209,0.102946,688.938
wav2vec2-base,fold0,9,0.1,16,0.406188,0.81025,0.081706,705.25
wav2vec2-base,fold0,9,0.1,8,0.575909,0.904086,0.057454,723.875
wav2vec2-base,fold0,9,0.5,79,0.109771,0.618879,0.686478,240.785
wav2vec2-base,fold0,9,0.5,79,0.109771,0.618879,0.686478,240.785
wav2vec2-base,fold0,9,0.5,64,0.133592,0.641765,0.621948,290.344
wav2vec2-base,fold0,9,0.5,32,0.259613,0.731615,0.44222,428.375
wav2vec2-base,fold0,9,0.5,16,0.426798,0.824754,0.324626,518.688
wav2vec2-base,fold0,9,0.5,8,0.585257,0.912109,0.240072,583.625
wav2vec2-base,fold0,9,1.0,79,0.250332,0.68749,0.860463,107.165
wav2vec2-base,fold0,9,1.0,79,0.250332,0.68749,0.860463,107.165
wav2vec2-base,fold0,9,1.0,64,0.278194,0.714034,0.831258,129.594
wav2vec2-base,fold0,9,1.0,32,0.378658,0.787876,0.713216,220.25
wav2vec2-base,fold0,9,1.0,16,0.488414,0.859348,0.563232,335.438
wav2vec2-base,fold0,9,1.0,8,0.614025,0.931282,0.440918,429.375
