epoch,train_loss,val_loss,macro_f1
1,0.521567,0.424154,0.640057
2,0.424088,0.419129,0.649063
3,0.391834,0.412057,0.658735
4,0.3591,0.432503,0.648253
5,0.323853,0.459773,0.652665
6,0.288786,0.492468,0.641148
7,0.255415,0.517654,0.646927
8,0.218706,0.568938,0.637133
9,0.187271,0.61214,0.639659
10,0.157367,0.683804,0.626864
11,0.135374,0.730926,0.627081
12,0.109062,0.801791,0.628607
13,0.090946,0.857501,0.625609
14,0.076563,0.918257,0.619117
15,0.058233,1.019865,0.618122
16,0.053488,1.036725,0.625733
17,0.043614,1.097523,0.624142
18,0.036419,1.1545,0.623107
19,0.027465,1.230823,0.631405
20,0.023751,1.303785,0.620807
21,0.018283,1.362066,0.627619
22,0.015558,1.419686,0.621702
23,0.014473,1.433549,0.62078
24,0.010614,1.469693,0.624101
25,0.007566,1.525117,0.625633
26,0.006548,1.562272,0.62921
27,0.005405,1.601342,0.622389
28,0.004669,1.623171,0.624425
29,0.004162,1.637736,0.626823
30,0.003,1.663231,0.629837
31,0.002848,1.686405,0.632812
32,0.00246,1.700444,0.630134
33,0.002176,1.712142,0.629198
34,0.002067,1.726972,0.62851
35,0.001862,1.735038,0.629732
36,0.001795,1.745952,0.626869
37,0.001585,1.752294,0.627638
38,0.001703,1.757061,0.627573
39,0.001672,1.767125,0.626958
40,0.001686,1.772297,0.626665
