model,layer,macro_f1,f1_Block,f1_Prolongation,f1_SoundRep,f1_WordRep,f1_Interjection,f1_Fluent
hubert-large,1,0.29237,0.58149,0.207,0.08929,0.04233,0.40248,0.43166
hubert-large,6,0.32351,0.58878,0.23111,0.11765,0.09665,0.44325,0.46363
hubert-large,12,0.36113,0.59948,0.29504,0.12295,0.152,0.50636,0.49093
hubert-large,18,0.35853,0.59783,0.27536,0.11307,0.15273,0.49722,0.51498
hubert-large,21,0.37273,0.60047,0.27706,0.15436,0.1581,0.4997,0.54667
hubert-large,23,0.3585,0.6001,0.26979,0.12057,0.14729,0.49426,0.51896
whisper-large,8,0.31823,0.57098,0.23876,0.12143,0.10753,0.44043,0.43025
whisper-large,16,0.32757,0.58515,0.26759,0.08054,0.11636,0.4506,0.4652
whisper-large,24,0.3712,0.59979,0.30081,0.12287,0.14545,0.53245,0.52581
whisper-large,28,0.40495,0.60533,0.2963,0.14521,0.27797,0.56522,0.53966
whisper-large,31,0.41349,0.61177,0.30876,0.13548,0.33533,0.5488,0.54077
