epoch,tau,train_loss,train_acc,val_loss,val_macro_f1,val_acc
1,1.9625,1.087812,0.38543,1.810112,0.2149,0.20277
2,1.925,0.53555,0.58066,1.758691,0.27658,0.28288
3,1.8875,0.39936,0.64464,1.798479,0.29488,0.30918
4,1.85,0.335477,0.67819,1.840439,0.30967,0.33764
5,1.8125,0.296235,0.70199,1.965262,0.32876,0.34935
6,1.775,0.269994,0.72405,1.887848,0.33664,0.36083
7,1.7375,0.250778,0.7335,1.985846,0.3333,0.36442
8,1.7,0.228318,0.75401,1.982345,0.35577,0.39646
9,1.6625,0.207767,0.76411,2.115713,0.34864,0.39718
10,1.625,0.191579,0.7741,2.151209,0.35461,0.40411
11,1.5875,0.178172,0.79395,2.254476,0.33469,0.38785
12,1.55,0.171124,0.79407,2.241241,0.35328,0.40555
13,1.5125,0.163596,0.79879,2.281441,0.35308,0.40722
14,1.475,0.162104,0.80029,2.304447,0.36294,0.41798
15,1.4375,0.146305,0.8141,2.326953,0.37068,0.43424
16,1.4,0.139679,0.82127,2.382837,0.36659,0.43615
17,1.3625,0.131337,0.82839,2.55229,0.3532,0.41272
18,1.325,0.123102,0.83569,2.536757,0.36148,0.43137
19,1.2875,0.112584,0.84567,2.531235,0.3789,0.44094
20,1.25,0.112369,0.84525,2.604922,0.36578,0.434
21,1.2125,0.106764,0.85422,2.682445,0.35645,0.43759
22,1.175,0.104501,0.85715,2.654411,0.36371,0.43615
23,1.1375,0.098976,0.86098,2.640986,0.36861,0.44309
24,1.1,0.092178,0.86343,2.657616,0.37401,0.45313
25,1.0625,0.092461,0.86887,2.659853,0.37253,0.44548
26,1.025,0.085123,0.87252,2.736798,0.37796,0.45744
27,0.9875,0.083432,0.87222,2.73047,0.37895,0.45505
28,0.95,0.082817,0.87527,2.857047,0.38079,0.46126
29,0.9125,0.078711,0.88017,2.871627,0.38102,0.46102
30,0.875,0.079523,0.87916,2.777338,0.37892,0.45791
31,0.8375,0.07387,0.88675,2.919504,0.3699,0.45744
32,0.8,0.072919,0.89034,2.967885,0.37484,0.46389
33,0.7625,0.073162,0.89046,3.076641,0.37147,0.4615
34,0.725,0.071292,0.89004,2.815217,0.38475,0.46772
35,0.6875,0.071421,0.89381,2.902861,0.37469,0.46461
36,0.65,0.070575,0.89082,3.020287,0.37913,0.46772
37,0.6125,0.070577,0.89165,2.98037,0.37096,0.46461
38,0.575,0.071347,0.89452,2.891467,0.38381,0.47131
39,0.5375,0.071579,0.89201,2.918395,0.38112,0.46581
40,0.5,0.069789,0.89524,2.941233,0.38492,0.47585
